EventDateTime,epoch,value
2023-09-14 17:29:19,1694712559,16.29
2023-09-14 17:29:29,1694712569,32.00
2023-09-14 17:29:39,1694712579,33.00
2023-09-14 17:29:49,1694712589,39.22
2023-09-14 17:29:59,1694712599,21.60
2023-09-14 17:30:09,1694712609,25.60
2023-09-14 17:30:19,1694712619,32.60
2023-09-14 17:30:29,1694712629,37.15
2023-09-14 17:30:39,1694712639,22.20
2023-09-14 17:30:49,1694712649,28.60
2023-09-14 17:30:59,1694712659,31.80
2023-09-14 17:31:09,1694712669,39.20
2023-09-14 17:31:19,1694712679,21.40
2023-09-14 17:31:29,1694712689,26.60
2023-09-14 17:31:39,1694712699,33.00
2023-09-14 17:31:49,1694712709,39.78
2023-09-14 17:31:59,1694712719,21.80
2023-09-14 17:32:09,1694712729,26.26
2023-09-14 17:32:19,1694712739,33.40
2023-09-14 17:32:29,1694712749,39.37
2023-09-14 17:32:39,1694712759,21.00
2023-09-14 17:32:49,1694712769,25.80
2023-09-14 17:32:59,1694712779,33.40
2023-09-14 17:33:09,1694712789,38.72
2023-09-14 17:33:19,1694712799,21.60
2023-09-14 17:33:29,1694712809,29.00
2023-09-14 17:33:39,1694712819,31.80
2023-09-14 17:33:49,1694712829,39.87
2023-09-14 17:33:59,1694712839,21.00
2023-09-14 17:34:09,1694712849,25.80
2023-09-14 17:34:19,1694712859,32.20
2023-09-14 17:34:29,1694712869,39.27
2023-09-14 17:34:39,1694712879,21.00
2023-09-14 17:34:49,1694712889,26.60
2023-09-14 17:34:59,1694712899,32.20
2023-09-14 17:35:09,1694712909,39.77
2023-09-14 17:35:19,1694712919,21.60
