EventDateTime,epoch,value
2023-09-14 19:28:11,1694719691,27.00
2023-09-14 19:28:21,1694719701,26.60
2023-09-14 19:28:31,1694719711,44.19
2023-09-14 19:28:41,1694719721,27.20
2023-09-14 19:28:51,1694719731,27.00
2023-09-14 19:29:01,1694719741,26.40
2023-09-14 19:29:11,1694719751,44.27
2023-09-14 19:29:21,1694719761,27.20
2023-09-14 19:29:31,1694719771,27.20
2023-09-14 19:29:41,1694719781,25.60
2023-09-14 19:29:51,1694719791,42.08
2023-09-14 19:30:01,1694719801,26.40
2023-09-14 19:30:11,1694719811,25.40
2023-09-14 19:30:21,1694719821,25.40
2023-09-14 19:30:31,1694719831,41.66
2023-09-14 19:30:41,1694719841,25.80
2023-09-14 19:30:51,1694719851,25.80
2023-09-14 19:31:01,1694719861,25.20
2023-09-14 19:31:11,1694719871,42.25
2023-09-14 19:31:21,1694719881,25.80
2023-09-14 19:31:31,1694719891,26.00
2023-09-14 19:31:41,1694719901,25.80
2023-09-14 19:31:51,1694719911,40.68
2023-09-14 19:32:01,1694719921,24.60
2023-09-14 19:32:11,1694719931,24.20
2023-09-14 19:32:21,1694719941,23.40
2023-09-14 19:32:31,1694719951,39.46
2023-09-14 19:32:41,1694719961,22.40
2023-09-14 19:32:51,1694719971,22.40
2023-09-14 19:33:01,1694719981,23.00
2023-09-14 19:33:11,1694719991,39.25
2023-09-14 19:33:21,1694720001,22.20
2023-09-14 19:33:31,1694720011,22.20
2023-09-14 19:33:41,1694720021,21.80
2023-09-14 19:33:51,1694720031,37.32
2023-09-14 19:34:01,1694720041,21.60
2023-09-14 19:34:11,1694720051,22.60
2023-09-14 19:34:21,1694720061,22.20
2023-09-14 19:34:31,1694720071,37.30
2023-09-14 19:34:41,1694720081,21.60
2023-09-14 19:34:51,1694720091,20.80
2023-09-14 19:35:01,1694720101,21.80
2023-09-14 19:35:11,1694720111,36.08
2023-09-14 19:35:21,1694720121,21.20
2023-09-14 19:35:31,1694720131,19.80
2023-09-14 19:35:41,1694720141,20.80
2023-09-14 19:35:51,1694720151,38.08
2023-09-14 19:36:01,1694720161,21.40
2023-09-14 19:36:11,1694720171,20.80
2023-09-14 19:36:21,1694720181,20.40
2023-09-14 19:36:31,1694720191,34.92
2023-09-14 19:36:41,1694720201,19.80
2023-09-14 19:36:51,1694720211,20.40
2023-09-14 19:37:01,1694720221,20.00
2023-09-14 19:37:11,1694720231,36.47
2023-09-14 19:37:21,1694720241,20.20
2023-09-14 19:37:31,1694720251,20.20
2023-09-14 19:37:41,1694720261,19.20
2023-09-14 19:37:51,1694720271,34.88
2023-09-14 19:38:01,1694720281,18.60
2023-09-14 19:38:11,1694720291,19.40
2023-09-14 19:38:21,1694720301,18.00
2023-09-14 19:38:31,1694720311,34.10
2023-09-14 19:38:41,1694720321,18.80
2023-09-14 19:38:51,1694720331,19.00
2023-09-14 19:39:01,1694720341,18.20
2023-09-14 19:39:11,1694720351,34.90
2023-09-14 19:39:21,1694720361,18.60
2023-09-14 19:39:31,1694720371,18.40
2023-09-14 19:39:41,1694720381,18.60
2023-09-14 19:39:51,1694720391,33.28
2023-09-14 19:40:01,1694720401,17.80
2023-09-14 19:40:11,1694720411,17.40
2023-09-14 19:40:21,1694720421,17.20
2023-09-14 19:40:31,1694720431,33.70
2023-09-14 19:40:41,1694720441,16.80
2023-09-14 19:40:51,1694720451,16.40
2023-09-14 19:41:01,1694720461,16.60
2023-09-14 19:41:11,1694720471,31.13
2023-09-14 19:41:21,1694720481,16.80
2023-09-14 19:41:31,1694720491,16.40
2023-09-14 19:41:41,1694720501,16.60
2023-09-14 19:41:51,1694720511,32.87
2023-09-14 19:42:01,1694720521,16.40
2023-09-14 19:42:11,1694720531,16.20
2023-09-14 19:42:21,1694720541,16.20
2023-09-14 19:42:31,1694720551,32.49
2023-09-14 19:42:41,1694720561,16.40
2023-09-14 19:42:51,1694720571,16.40
2023-09-14 19:43:01,1694720581,16.00
2023-09-14 19:43:11,1694720591,33.07
2023-09-14 19:43:21,1694720601,16.40
